City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atuona,-9.8,-139.0333,79.23,76,80,19.1,PF,1612074762
84,calama,-22.4667,-68.9333,46.4,36,0,16.11,CL,1612074724
85,jucurutu,-6.0339,-37.0203,76.93,68,97,4.83,BR,1612075021
86,port elizabeth,-33.918,25.5701,71.6,64,0,8.05,ZA,1612075022
87,tiarei,-17.5333,-149.3333,80.6,74,75,14.97,PF,1612075022
88,hovd,48.0056,91.6419,19.98,71,0,3.71,MN,1612075022
89,chuy,-33.6971,-53.4616,69.22,87,100,14.27,UY,1612075022
90,longyearbyen,78.2186,15.6401,-5.8,49,20,20.71,SJ,1612075022
91,ukiah,39.1502,-123.2078,48.2,66,90,5.75,US,1612075023
92,nemuro,43.3236,145.575,24.8,50,20,10.36,JP,1612075023
93,kapaa,22.0752,-159.319,71.6,83,75,18.41,US,1612075023
94,ruwi,23.5996,58.5507,78.8,29,0,2.3,OM,1612075023
95,sao domingos do prata,-19.865,-42.9683,69.8,88,0,5.75,BR,1612075024
96,pacifica,37.6138,-122.4869,53.6,66,75,3.44,US,1612075024
97,norman wells,65.282,-126.8329,-22.0,76,75,2.75,CA,1612075024
98,guarapari,-20.6667,-40.4975,77.0,83,20,5.75,BR,1612075024
99,saskylakh,71.9167,114.0833,-32.17,83,100,8.7,RU,1612075024
100,naryan-mar,67.6713,53.087,3.38,93,100,11.43,RU,1612075025
101,puerto narino,-3.7703,-70.3831,75.2,100,40,0.69,CO,1612075025
102,mizan teferi,6.9833,35.5833,76.12,42,95,0.09,ET,1612075025
103,nizhniy kuranakh,58.8353,125.4869,-31.18,80,100,1.83,RU,1612075025
104,san nicolas,18.1725,120.5953,80.6,50,75,8.05,PH,1612075025
105,southampton,50.904,-1.4043,39.0,90,100,11.07,GB,1612074970
106,kulu,39.0951,33.0799,39.2,80,74,4.54,TR,1612075026
107,la asuncion,11.0333,-63.8628,76.08,90,96,13.13,VE,1612074893
108,leo,11.1,-2.1,67.84,24,26,7.67,BF,1612075026
109,esperance,-33.8667,121.9,86.0,26,0,16.11,AU,1612075026
110,oksfjord,70.2396,22.3479,24.8,93,100,4.61,NO,1612075026
111,san patricio,28.017,-97.5169,64.0,100,40,5.75,US,1612075026
112,upernavik,72.7868,-56.1549,-9.6,86,43,4.03,GL,1612075026
113,ponta do sol,32.6667,-17.1,57.0,75,1,5.01,PT,1612075027
114,soyo,-6.1349,12.3689,75.2,94,75,2.3,AO,1612075027
115,solnechnyy,50.7214,136.6319,-8.75,88,99,4.94,RU,1612074854
116,castro,-24.7911,-50.0119,64.36,95,100,4.41,BR,1612074769
